"bench","sel","suc","file","proc","IF","loop","IfNode","LoopNode","pIfNode","pLoopNode","psize","s","sall","fakesel"
"aaparmeggiani--pg_tail",38,1,1,3,0,0,0,0,4,5,66,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,5,6,66,2,2,40
"aaparmeggiani--pg_tail",39,1,1,3,0,0,0,0,3,5,65,2,2,40
"aaparmeggiani--pg_tail",38,1,1,3,0,0,0,0,5,2,65,2,2,40
"aaparmeggiani--pg_tail",42,1,1,3,0,0,0,0,3,6,67,2,2,40
"aaparmeggiani--pg_tail",36,1,1,3,0,0,0,0,5,3,64,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,5,4,69,2,2,40
"aaparmeggiani--pg_tail",39,1,1,3,0,0,0,0,6,4,67,2,2,40
"aaparmeggiani--pg_tail",39,1,1,3,0,0,0,0,6,4,66,2,2,40
"aaparmeggiani--pg_tail",37,1,1,3,0,0,0,0,4,4,64,2,2,40
"aaparmeggiani--pg_tail",38,1,1,3,0,0,0,0,8,4,72,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,5,2,64,2,2,40
"aaparmeggiani--pg_tail",41,1,1,3,0,0,0,0,4,4,71,2,2,40
"aaparmeggiani--pg_tail",36,1,1,2,0,0,0,0,5,3,65,2,2,40
"aaparmeggiani--pg_tail",42,1,1,3,0,0,0,0,4,4,67,2,2,40
"aaparmeggiani--pg_tail",39,1,1,3,0,0,0,0,4,3,70,2,2,40
"aaparmeggiani--pg_tail",42,1,1,3,0,0,0,0,4,3,66,2,2,40
"aaparmeggiani--pg_tail",41,1,1,3,0,0,0,0,4,3,73,2,2,40
"aaparmeggiani--pg_tail",42,1,1,3,0,0,0,0,5,3,65,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,2,3,58,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,3,4,66,2,2,40
"aaparmeggiani--pg_tail",42,1,1,3,0,0,0,0,5,2,74,2,2,40
"aaparmeggiani--pg_tail",39,1,1,3,0,0,0,0,5,4,70,2,2,40
"aaparmeggiani--pg_tail",39,1,1,3,0,0,0,0,5,5,69,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,5,5,72,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,5,4,70,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,7,6,75,2,2,40
"aaparmeggiani--pg_tail",42,1,1,3,0,0,0,0,3,7,71,2,2,40
"aaparmeggiani--pg_tail",43,1,1,3,0,0,0,0,6,5,78,2,2,40
"aaparmeggiani--pg_tail",42,1,1,3,0,0,0,0,3,3,66,2,2,40
"aaparmeggiani--pg_tail",39,1,1,3,0,0,0,0,1,4,67,2,2,40
"aaparmeggiani--pg_tail",38,1,1,3,0,0,0,0,4,4,60,2,2,40
"aaparmeggiani--pg_tail",34,1,1,3,0,0,0,0,3,3,58,2,2,40
"aaparmeggiani--pg_tail",41,1,1,3,0,0,0,0,5,4,68,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,6,2,74,2,2,40
"aaparmeggiani--pg_tail",41,1,1,3,0,0,0,0,7,3,70,2,2,40
"aaparmeggiani--pg_tail",39,1,1,3,0,0,0,0,3,3,63,2,2,40
"aaparmeggiani--pg_tail",39,1,1,3,0,0,0,0,5,3,66,2,2,40
"aaparmeggiani--pg_tail",39,1,1,3,0,0,0,0,6,4,70,2,2,40
"aaparmeggiani--pg_tail",42,1,1,2,0,0,0,0,4,5,68,2,2,40
"aaparmeggiani--pg_tail",39,1,1,2,0,0,0,0,6,5,70,2,2,40
"aaparmeggiani--pg_tail",39,1,1,3,0,0,0,0,1,6,61,2,2,40
"aaparmeggiani--pg_tail",38,1,1,3,0,0,0,0,6,3,69,2,2,40
"aaparmeggiani--pg_tail",41,1,1,3,0,0,0,0,2,3,61,2,2,40
"aaparmeggiani--pg_tail",41,1,1,3,0,0,0,0,4,2,62,2,2,40
"aaparmeggiani--pg_tail",39,1,1,3,0,0,0,0,3,4,69,2,2,40
"aaparmeggiani--pg_tail",36,1,1,3,0,0,0,0,3,4,58,2,2,40
"aaparmeggiani--pg_tail",36,1,1,3,0,0,0,0,5,1,56,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,5,3,68,2,2,40
"aaparmeggiani--pg_tail",41,1,1,3,0,0,0,0,6,2,61,2,2,40
"aaparmeggiani--pg_tail",37,1,1,3,0,0,0,0,3,6,66,2,2,40
"aaparmeggiani--pg_tail",34,1,1,3,0,0,0,0,2,3,61,2,2,40
"aaparmeggiani--pg_tail",39,1,1,3,0,0,0,0,4,4,64,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,5,5,73,2,2,40
"aaparmeggiani--pg_tail",38,1,1,3,0,0,0,0,4,4,65,2,2,40
"aaparmeggiani--pg_tail",41,1,1,3,0,0,0,0,4,5,66,2,2,40
"aaparmeggiani--pg_tail",38,1,1,3,0,0,0,0,5,3,68,2,2,40
"aaparmeggiani--pg_tail",42,1,1,3,0,0,0,0,3,5,71,2,2,40
"aaparmeggiani--pg_tail",41,1,1,3,0,0,0,0,6,6,69,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,1,5,68,2,2,40
"aaparmeggiani--pg_tail",39,1,1,3,0,0,0,0,1,3,60,2,2,40
"aaparmeggiani--pg_tail",40,1,1,2,0,0,0,0,3,4,64,2,2,40
"aaparmeggiani--pg_tail",42,1,1,3,0,0,0,0,4,6,69,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,4,4,65,2,2,40
"aaparmeggiani--pg_tail",41,1,1,3,0,0,0,0,5,5,66,2,2,40
"aaparmeggiani--pg_tail",37,1,1,3,0,0,0,0,5,5,66,2,2,40
"aaparmeggiani--pg_tail",41,1,1,2,0,0,0,0,5,0,65,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,5,4,66,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,5,3,64,2,2,40
"aaparmeggiani--pg_tail",37,1,1,3,0,0,0,0,3,7,68,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,5,3,70,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,4,5,72,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,5,4,75,2,2,40
"aaparmeggiani--pg_tail",41,1,1,3,0,0,0,0,3,5,65,2,2,40
"aaparmeggiani--pg_tail",38,1,1,3,0,0,0,0,0,5,60,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,2,5,63,2,2,40
"aaparmeggiani--pg_tail",44,1,1,2,0,0,0,0,4,5,72,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,5,5,65,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,3,6,70,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,4,3,71,2,2,40
"aaparmeggiani--pg_tail",43,1,1,3,0,0,0,0,6,5,69,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,5,5,70,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,5,3,73,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,3,5,60,2,2,40
"aaparmeggiani--pg_tail",42,1,1,3,0,0,0,0,6,5,75,2,2,40
"aaparmeggiani--pg_tail",40,1,1,3,0,0,0,0,4,5,66,2,2,40
"aaparmeggiani--pg_tail",38,1,1,3,0,0,0,0,4,3,69,2,2,40
"aaparmeggiani--pg_tail",39,1,1,3,0,0,0,0,4,4,70,2,2,40
"aaparmeggiani--pg_tail",38,1,1,3,0,0,0,0,4,2,64,2,2,40
"aaparmeggiani--pg_tail",38,1,1,3,0,0,0,0,2,4,65,2,2,40
