"bench","sel","suc","file","proc","IF","loop","IfNode","LoopNode","pIfNode","pLoopNode","psize","s","sall","fakesel"
"aaparmeggiani--pg_tail",30,1,1,2,0,0,0,0,2,4,57,2,2,30
"aaparmeggiani--pg_tail",32,1,1,3,0,0,0,0,4,2,51,2,2,30
"aaparmeggiani--pg_tail",29,1,1,2,0,0,0,0,4,6,56,2,2,30
"aaparmeggiani--pg_tail",30,1,1,3,0,0,0,0,4,4,59,2,2,30
"aaparmeggiani--pg_tail",30,1,1,3,0,0,0,0,5,4,53,2,2,30
"aaparmeggiani--pg_tail",28,1,1,2,0,0,0,0,3,3,47,1,1,30
"aaparmeggiani--pg_tail",30,1,1,3,0,0,0,0,5,3,72,2,2,30
"aaparmeggiani--pg_tail",27,1,1,3,0,0,0,0,2,3,46,2,2,30
"aaparmeggiani--pg_tail",33,1,1,3,0,0,0,0,3,4,56,2,2,30
"aaparmeggiani--pg_tail",30,1,1,3,0,0,0,0,2,1,52,2,2,30
"aaparmeggiani--pg_tail",30,1,1,3,0,0,0,0,5,4,59,2,2,30
"aaparmeggiani--pg_tail",31,1,1,3,0,0,0,0,3,3,53,2,2,30
"aaparmeggiani--pg_tail",30,1,1,3,0,0,0,0,2,4,62,2,2,30
"aaparmeggiani--pg_tail",28,1,1,3,0,0,0,0,2,3,49,2,2,30
"aaparmeggiani--pg_tail",29,1,1,3,0,0,0,0,2,3,56,2,2,30
"aaparmeggiani--pg_tail",28,1,1,3,0,0,0,0,4,3,56,2,2,30
"aaparmeggiani--pg_tail",30,1,1,2,0,0,0,0,6,3,58,2,2,30
"aaparmeggiani--pg_tail",31,1,1,3,0,0,0,0,7,5,55,2,2,30
"aaparmeggiani--pg_tail",31,1,1,3,0,0,0,0,1,1,46,2,2,30
"aaparmeggiani--pg_tail",30,1,1,2,0,0,0,0,4,4,49,1,1,30
"aaparmeggiani--pg_tail",31,1,1,3,0,0,0,0,4,4,56,2,2,30
"aaparmeggiani--pg_tail",30,1,1,3,0,0,0,0,3,6,53,2,2,30
"aaparmeggiani--pg_tail",31,1,1,3,0,0,0,0,3,5,57,2,2,30
"aaparmeggiani--pg_tail",29,1,1,3,0,0,0,0,1,3,51,2,2,30
"aaparmeggiani--pg_tail",29,1,1,3,0,0,0,0,1,4,51,2,2,30
"aaparmeggiani--pg_tail",27,1,1,3,0,0,0,0,4,4,61,2,2,30
"aaparmeggiani--pg_tail",32,1,1,2,0,0,0,0,4,4,53,2,2,30
"aaparmeggiani--pg_tail",28,1,1,3,0,0,0,0,1,2,44,2,2,30
"aaparmeggiani--pg_tail",28,1,1,3,0,0,0,0,4,4,63,2,2,30
"aaparmeggiani--pg_tail",28,1,1,3,0,0,0,0,3,0,52,2,2,30
"aaparmeggiani--pg_tail",28,1,1,3,0,0,0,0,4,2,55,2,2,30
"aaparmeggiani--pg_tail",31,1,1,3,0,0,0,0,2,4,56,2,2,30
"aaparmeggiani--pg_tail",29,1,1,3,0,0,0,0,1,4,52,2,2,30
