"bench","sel","suc","file","proc","IF","loop","IfNode","LoopNode","pIfNode","pLoopNode","psize","s","sall","fakesel"
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,4,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,4,1,1,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,1,1,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,1,3,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,1,2,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,4,1,1,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,1,1,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,1,0,3,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,2,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,4,1,1,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,1,1,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,1,3,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,2,0,7,1,1,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,1,0,3,1,1,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
"aaparmeggiani--pg_tail",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,2,0,7,1,1,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,1,2,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
"aaparmeggiani--pg_tail",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
"aaparmeggiani--pg_tail",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,1,3,0,0,1
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,1
