"bench","sel","suc","file","proc","IF","loop","IfNode","LoopNode","pIfNode","pLoopNode","psize","s","sall","fakesel"
"aaparmeggiani--pg_tail",4,1,1,1,0,0,0,0,0,1,10,0,0,5
"aaparmeggiani--pg_tail",5,1,1,1,0,0,0,0,1,0,13,0,0,5
"aaparmeggiani--pg_tail",6,1,1,2,0,0,0,0,0,1,12,1,1,5
"aaparmeggiani--pg_tail",5,1,1,1,0,0,0,0,1,1,17,1,1,5
"aaparmeggiani--pg_tail",7,1,1,2,0,0,0,0,0,0,12,1,1,5
"aaparmeggiani--pg_tail",5,1,1,2,0,0,0,0,1,0,16,2,2,5
"aaparmeggiani--pg_tail",5,1,1,2,0,0,0,0,0,2,14,1,1,5
"aaparmeggiani--pg_tail",5,1,1,1,0,0,0,0,1,0,14,0,0,5
"aaparmeggiani--pg_tail",4,1,1,1,0,0,0,0,0,2,15,0,0,5
"aaparmeggiani--pg_tail",6,1,1,1,0,0,0,0,1,1,11,0,0,5
"aaparmeggiani--pg_tail",5,1,1,1,0,0,0,0,0,3,12,0,0,5
"aaparmeggiani--pg_tail",6,1,1,1,0,0,0,0,0,1,9,0,0,5
"aaparmeggiani--pg_tail",5,1,1,1,0,0,0,0,0,2,14,1,1,5
"aaparmeggiani--pg_tail",5,1,1,1,0,0,0,0,0,1,14,1,1,5
"aaparmeggiani--pg_tail",4,1,1,1,0,0,0,0,1,1,9,0,0,5
"aaparmeggiani--pg_tail",5,1,1,2,0,0,0,0,1,2,13,1,1,5
"aaparmeggiani--pg_tail",6,1,1,2,0,0,0,0,1,0,12,1,1,5
"aaparmeggiani--pg_tail",4,1,1,1,0,0,0,0,1,2,15,0,0,5
"aaparmeggiani--pg_tail",5,1,1,2,0,0,0,0,1,0,9,1,1,5
"aaparmeggiani--pg_tail",4,1,1,2,0,0,0,0,0,0,8,1,1,5
"aaparmeggiani--pg_tail",5,1,1,1,0,0,0,0,1,1,9,0,0,5
"aaparmeggiani--pg_tail",4,1,1,1,0,0,0,0,1,0,14,0,0,5
"aaparmeggiani--pg_tail",5,1,1,1,0,0,0,0,0,1,9,1,1,5
"aaparmeggiani--pg_tail",3,1,1,1,0,0,0,0,0,1,6,0,0,5
"aaparmeggiani--pg_tail",6,1,1,1,0,0,0,0,0,0,9,0,0,5
"aaparmeggiani--pg_tail",4,1,1,1,0,0,0,0,0,2,10,1,1,5
"aaparmeggiani--pg_tail",5,1,1,2,0,0,0,0,0,1,12,1,1,5
"aaparmeggiani--pg_tail",5,1,1,1,0,0,0,0,2,0,15,1,1,5
"aaparmeggiani--pg_tail",3,1,1,1,0,0,0,0,1,0,8,1,1,5
"aaparmeggiani--pg_tail",5,1,1,3,0,0,0,0,0,0,11,2,2,5
"aaparmeggiani--pg_tail",6,1,1,2,0,0,0,0,0,0,10,1,1,5
"aaparmeggiani--pg_tail",5,1,1,2,0,0,0,0,1,1,15,1,1,5
"aaparmeggiani--pg_tail",5,1,1,2,0,0,0,0,0,0,11,1,1,5
"aaparmeggiani--pg_tail",4,1,1,1,0,0,0,0,0,1,13,1,1,5
"aaparmeggiani--pg_tail",5,1,1,3,0,0,0,0,0,0,12,2,2,5
"aaparmeggiani--pg_tail",6,1,1,1,0,0,0,0,1,0,11,0,0,5
