"bench","sel","suc","file","proc","IF","loop","IfNode","LoopNode","pIfNode","pLoopNode","psize","s","sall","fakesel"
"aaparmeggiani--pg_tail",21,1,1,3,0,0,0,0,3,2,39,2,2,20
"aaparmeggiani--pg_tail",20,1,1,3,0,0,0,0,1,3,38,2,2,20
"aaparmeggiani--pg_tail",19,1,1,2,0,0,0,0,2,2,39,1,1,20
"aaparmeggiani--pg_tail",19,1,1,3,0,0,0,0,0,2,36,2,2,20
"aaparmeggiani--pg_tail",20,1,1,3,0,0,0,0,1,1,34,2,2,20
"aaparmeggiani--pg_tail",20,1,1,2,0,0,0,0,1,4,40,2,2,20
"aaparmeggiani--pg_tail",17,1,1,3,0,0,0,0,2,3,34,2,2,20
"aaparmeggiani--pg_tail",19,1,1,3,0,0,0,0,1,1,31,2,2,20
"aaparmeggiani--pg_tail",23,1,1,3,0,0,0,0,1,2,38,2,2,20
"aaparmeggiani--pg_tail",20,1,1,3,0,0,0,0,5,3,46,2,2,20
"aaparmeggiani--pg_tail",22,1,1,2,0,0,0,0,0,1,37,1,1,20
"aaparmeggiani--pg_tail",19,1,1,2,0,0,0,0,4,3,40,2,2,20
"aaparmeggiani--pg_tail",19,1,1,3,0,0,0,0,3,4,43,2,2,20
"aaparmeggiani--pg_tail",18,1,1,2,0,0,0,0,1,5,39,2,2,20
"aaparmeggiani--pg_tail",20,1,1,3,0,0,0,0,3,5,42,2,2,20
"aaparmeggiani--pg_tail",22,1,1,3,0,0,0,0,4,3,40,2,2,20
"aaparmeggiani--pg_tail",19,1,1,3,0,0,0,0,0,2,36,2,2,20
"aaparmeggiani--pg_tail",22,1,1,3,0,0,0,0,3,1,44,2,2,20
"aaparmeggiani--pg_tail",21,1,1,2,0,0,0,0,5,0,47,2,2,20
"aaparmeggiani--pg_tail",19,1,1,2,0,0,0,0,1,2,34,2,2,20
"aaparmeggiani--pg_tail",18,1,1,2,0,0,0,0,0,2,30,2,2,20
"aaparmeggiani--pg_tail",19,1,1,3,0,0,0,0,3,3,41,2,2,20
"aaparmeggiani--pg_tail",20,1,1,2,0,0,0,0,2,4,33,1,1,20
"aaparmeggiani--pg_tail",19,1,1,3,0,0,0,0,4,1,36,2,2,20
"aaparmeggiani--pg_tail",19,1,1,3,0,0,0,0,1,5,38,2,2,20
"aaparmeggiani--pg_tail",24,1,1,2,0,0,0,0,1,2,38,2,2,20
"aaparmeggiani--pg_tail",16,1,1,3,0,0,0,0,3,3,30,2,2,20
"aaparmeggiani--pg_tail",21,1,1,2,0,0,0,0,4,1,43,2,2,20
"aaparmeggiani--pg_tail",20,1,1,3,0,0,0,0,2,2,35,2,2,20
"aaparmeggiani--pg_tail",22,1,1,3,0,0,0,0,2,3,41,2,2,20
"aaparmeggiani--pg_tail",18,1,1,2,0,0,0,0,4,2,45,1,1,20
"aaparmeggiani--pg_tail",19,1,1,3,0,0,0,0,3,3,37,2,2,20
"aaparmeggiani--pg_tail",22,1,1,1,0,0,0,0,2,3,41,2,2,20
"aaparmeggiani--pg_tail",22,1,1,3,0,0,0,0,2,3,41,2,2,20
"aaparmeggiani--pg_tail",22,1,1,2,0,0,0,0,1,1,41,1,1,20
"aaparmeggiani--pg_tail",21,1,1,2,0,0,0,0,2,2,41,2,2,20
"aaparmeggiani--pg_tail",18,1,1,3,0,0,0,0,0,2,32,2,2,20
"aaparmeggiani--pg_tail",20,1,1,2,0,0,0,0,0,3,34,2,2,20
"aaparmeggiani--pg_tail",20,1,1,2,0,0,0,0,2,1,41,2,2,20
"aaparmeggiani--pg_tail",20,1,1,3,0,0,0,0,4,2,45,2,2,20
"aaparmeggiani--pg_tail",18,1,1,3,0,0,0,0,3,1,36,2,2,20
"aaparmeggiani--pg_tail",19,1,1,3,0,0,0,0,4,2,41,2,2,20
"aaparmeggiani--pg_tail",19,1,1,2,0,0,0,0,1,2,33,2,2,20
"aaparmeggiani--pg_tail",21,1,1,2,0,0,0,0,3,1,40,1,1,20
"aaparmeggiani--pg_tail",20,1,1,2,0,0,0,0,3,2,36,1,1,20
"aaparmeggiani--pg_tail",21,1,1,3,0,0,0,0,2,2,42,2,2,20
"aaparmeggiani--pg_tail",21,1,1,3,0,0,0,0,2,4,43,2,2,20
"aaparmeggiani--pg_tail",20,1,1,2,0,0,0,0,4,4,40,1,1,20
"aaparmeggiani--pg_tail",21,1,1,2,0,0,0,0,0,3,34,1,1,20
"aaparmeggiani--pg_tail",18,1,1,3,0,0,0,0,2,2,32,2,2,20
"aaparmeggiani--pg_tail",20,1,1,3,0,0,0,0,1,3,28,2,2,20
"aaparmeggiani--pg_tail",19,1,1,3,0,0,0,0,2,2,37,2,2,20
"aaparmeggiani--pg_tail",19,1,1,2,0,0,0,0,2,3,35,1,1,20
"aaparmeggiani--pg_tail",22,1,1,3,0,0,0,0,1,3,43,2,2,20
"aaparmeggiani--pg_tail",23,1,1,3,0,0,0,0,2,3,42,2,2,20
"aaparmeggiani--pg_tail",19,1,1,2,0,0,0,0,3,2,42,1,1,20
"aaparmeggiani--pg_tail",20,1,1,3,0,0,0,0,1,2,38,2,2,20
"aaparmeggiani--pg_tail",22,1,1,3,0,0,0,0,2,4,42,2,2,20
"aaparmeggiani--pg_tail",21,1,1,3,0,0,0,0,2,3,43,2,2,20
"aaparmeggiani--pg_tail",21,1,1,3,0,0,0,0,5,2,36,2,2,20
