"bench","sel","suc","file","proc","IF","loop","IfNode","LoopNode","pIfNode","pLoopNode","psize","s","sall","fakesel"
"aaparmeggiani--pg_tail",3,1,1,1,0,0,0,0,0,0,4,0,0,2
"aaparmeggiani--pg_tail",2,1,1,2,0,0,0,0,0,0,5,1,1,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,0,0,9,0,0,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,0,1,4,0,0,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,1,0,5,0,0,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,0,0,3,0,0,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,0,1,5,0,0,2
"aaparmeggiani--pg_tail",2,1,1,2,0,0,0,0,1,0,8,1,1,2
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,4,1,1,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,0,0,7,0,0,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,1,0,6,1,1,2
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,5,0,0,2
"aaparmeggiani--pg_tail",2,1,1,2,0,0,0,0,1,1,6,1,1,2
"aaparmeggiani--pg_tail",2,1,1,2,0,0,0,0,0,0,8,1,1,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,0,0,2,0,0,2
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,1,0,3,0,0,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,0,0,3,0,0,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,0,1,8,0,0,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,1,0,5,1,1,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,0,0,5,0,0,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,0,0,4,1,1,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,0,0,4,0,0,2
"aaparmeggiani--pg_tail",2,1,1,2,0,0,0,0,0,0,2,1,1,2
"aaparmeggiani--pg_tail",2,1,1,2,0,0,0,0,0,0,2,1,1,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,0,0,6,0,0,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,2,0,7,1,1,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,0,0,5,0,0,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,0,0,3,1,1,2
"aaparmeggiani--pg_tail",2,1,1,2,0,0,0,0,0,0,2,1,1,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,1,0,5,1,1,2
"aaparmeggiani--pg_tail",2,1,1,2,0,0,0,0,0,0,5,2,2,2
"aaparmeggiani--pg_tail",2,1,1,2,0,0,0,0,0,0,2,2,2,2
"aaparmeggiani--pg_tail",2,1,1,2,0,0,0,0,0,0,2,1,1,2
"aaparmeggiani--pg_tail",2,1,1,2,0,0,0,0,0,0,2,1,1,2
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,4,0,0,2
"aaparmeggiani--pg_tail",1,1,1,1,0,0,0,0,0,0,1,0,0,2
"aaparmeggiani--pg_tail",2,1,1,2,0,0,0,0,0,0,2,1,1,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,1,0,5,0,0,2
"aaparmeggiani--pg_tail",2,1,1,1,0,0,0,0,1,0,5,1,1,2
