ID, Num
25,19
24,22
23,25
22,42
21,45
20,52
19,167
18,413
17,473
16,484
15,540
14,567
13,576
12,586
11,589
10,607
9,679
8,687
6,700
7,700
5,1290
4,1501
3,2584
2,3270
1,8048
